Data Source,Human Capital Index,,,,,,,,,,,,,
Last Updated Date,9/21/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Liberia,LBR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.319,0.3175702393,,0.3190142214
Libya,LBY,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
St. Lucia,LCA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.5885867476,,0.6025647521
Liechtenstein,LIE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Sri Lanka,LKA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.584,0.5933705568,,0.5983242989
Lesotho,LSO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3408804238,,,,,,,0.371,0.3984925151,,0.400392592
Lithuania,LTU,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6883900166,,,,,,,0.712,0.7266952395,,0.7060479522
Luxembourg,LUX,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7002034783,,,,,,,0.692,0.692368567,,0.6861461401
Latvia,LVA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6764581203,,,,,,,0.724,0.7383534312,,0.7065814137
"Macao SAR, China",MAC,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6483251452,,,,,,,0.759,0.7632881403,,0.7956715822
St. Martin (French part),MAF,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Morocco,MAR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.4744345844,,,,,,,0.5,0.4925409853,,0.5041163564
Monaco,MCO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Moldova,MDA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.555781424,,,,,,,0.58,0.5817609429,,0.584153533
Madagascar,MDG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3886548281,,,,,,,0.374,0.3854926825,,0.3919910192
Maldives,MDV,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Mexico,MEX,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5891187787,,,,,,,0.607,0.611657083,,0.6129498482
Marshall Islands,MHL,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,0.4043676257,,0.4233981371
North Macedonia,MKD,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5377739668,,,,,,,0.534,0.535392046,,0.557349205
Mali,MLI,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.317,0.3215051889,,0.3182695806
Malta,MLT,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6802180409,,,,,,,0.701,0.7084905505,,0.7092483044
Myanmar,MMR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.473,0.4718325138,,0.4776520133
Montenegro,MNE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5851715207,,,,,,,0.615,0.6228222251,,0.6331818104
Mongolia,MNG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.626,0.6173092723,,0.6143975258
Northern Mariana Islands,MNP,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Mozambique,MOZ,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.361,0.3554670215,,0.3621166646
